,bathrooms,bedrooms,borough,city,leaseLength,postal_code,rating,rent,rental_title,sqft,state,street_address,pet_cat,pet_dog,built_year,property_size,amenity_air conditioning,amenity_alcove,amenity_balcony,amenity_basketball,amenity_bike storage,amenity_business,amenity_cable,amenity_ceiling fans,amenity_charging station,amenity_clubhouse,amenity_concierge,amenity_controlled,amenity_courtyard,amenity_dishwasher,amenity_disposal,amenity_dry cleaning,amenity_elevator,amenity_fitness,amenity_furnished,amenity_game,amenity_gated,amenity_granite,amenity_grill,amenity_hardwood,amenity_heat/hot water included,amenity_heating,amenity_high ceilings,amenity_internet,amenity_laundary facilities,amenity_laundry service,amenity_library,amenity_lounge,amenity_maid,amenity_maintenance,amenity_manager,amenity_microwave,amenity_movie,amenity_online service,amenity_oven,amenity_package,amenity_parking available,amenity_parking garage,amenity_parking security,amenity_patio,amenity_pet care,amenity_pet play area,amenity_picnic,amenity_planned social activities,amenity_playground,amenity_pool,amenity_private outdoor space,amenity_recycling,amenity_refrigerator,amenity_renovated,amenity_retail,amenity_rooftop,amenity_smoke free,amenity_spa,amenity_stainless,amenity_storage space,amenity_stove,amenity_sundeck,amenity_terrace,amenity_tub,amenity_views,amenity_walk-in closets,amenity_washer/dryer,amenity_wheelchair,amenity_wifi,amenity_yoga studio,full_address,longitude,latitude
4244,1,1,Manhattan,new york,12,,4,2650.0,280 E 2nd St Unit 4d,650.0,NY,280 E 2nd St Unit 4d,1,1,1991,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"280 E 2nd St Unit 4d, new york, NY",,
4245,1,0,Manhattan,new york,12,,4,2150.0,316 E 63rd St Unit 2C,498.36114570361144,NY,316 E 63rd St Unit 2C,1,1,1991,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"316 E 63rd St Unit 2C, new york, NY",,
4246,2,2,Manhattan,new york,12,,4,4695.0,365 W 30th St Unit 1103,604.0,NY,365 W 30th St Unit 1103,0,0,1991,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"365 W 30th St Unit 1103, new york, NY",,
4247,1,4,Manhattan,new york,12,,4,3300.0,527 W 147th St Unit 4I,1300.0,NY,527 W 147th St Unit 4I,1,1,1991,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"527 W 147th St Unit 4I, new york, NY",,
4248,1,1,Manhattan,new york,12,,4,1850.0,162 W 123rd St Unit 2,800.0,NY,162 W 123rd St Unit 2,1,1,1991,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"162 W 123rd St Unit 2, new york, NY",,
4249,1,0,Manhattan,new york,12,,4,1800.0,1132 1st Avenue Unit 2d,450.0,NY,1132 1st Avenue Unit 2d,0,0,1991,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1132 1st Avenue Unit 2d, new york, NY",,
4250,1,1,Manhattan,new york,12,,4,2300.0,114 W 71st St Unit 4R,707.177836285304,NY,114 W 71st St Unit 4R,1,1,1991,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"114 W 71st St Unit 4R, new york, NY",,
4251,1,0,Manhattan,new york,12,,4,2095.0,150 E 30th St Unit 6F,400.0,NY,150 E 30th St Unit 6F,1,0,1991,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"150 E 30th St Unit 6F, new york, NY",,
4252,1,3,Manhattan,new york,12,,4,4000.0,6 W 109th St,1217.683426443203,NY,6 W 109th St,1,1,1991,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6 W 109th St, new york, NY",,
4253,1,2,Manhattan,new york,12,,4,3758.0,335 E 55th St Unit 4b,972.7180989583334,NY,335 E 55th St Unit 4b,1,1,1991,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"335 E 55th St Unit 4b, new york, NY",,
4254,1,4,Manhattan,new york,12,,4,6000.0,7 W 109th St,1534.8315789473684,NY,7 W 109th St,1,1,1991,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"7 W 109th St, new york, NY",,
4255,2,2,Manhattan,new york,12,,4,14000.0,800 5th Ave,1500.0,NY,800 5th Ave,1,1,1991,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"800 5th Ave, new york, NY",,
